flag,function,n,m,t,performance,time_ms
march,Base,8,8,8,0.24,0.01 
march,Less Flops,8,8,8,0.82,0.00 
march,Column Major,8,8,8,1.02,0.00 
march,Unrolled Loops,8,8,8,1.51,0.00 
march,SIMD,8,8,8,1.30,0.00 
march,SIMD+Blocking,8,8,8,1.25,0.00 
march,Base,16,16,16,0.27,0.04 
march,Less Flops,16,16,16,1.08,0.01 
march,Column Major,16,16,16,1.88,0.01 
march,Unrolled Loops,16,16,16,2.69,0.00 
march,SIMD,16,16,16,3.36,0.00 
march,SIMD+Blocking,16,16,16,3.51,0.00 
march,Base,32,32,32,0.29,0.30 
march,Less Flops,32,32,32,1.05,0.08 
march,Column Major,32,32,32,2.53,0.03 
march,Unrolled Loops,32,32,32,3.70,0.02 
march,SIMD,32,32,32,5.33,0.02 
march,SIMD+Blocking,32,32,32,5.64,0.02 
march,Base,64,64,64,0.28,2.34 
march,Less Flops,64,64,64,0.92,0.72 
march,Column Major,64,64,64,2.96,0.23 
march,Unrolled Loops,64,64,64,4.01,0.17 
march,SIMD,64,64,64,5.69,0.12 
march,SIMD+Blocking,64,64,64,6.32,0.11 
march,Base,128,128,128,0.23,23.06 
march,Less Flops,128,128,128,0.55,9.70 
march,Column Major,128,128,128,2.64,2.01 
march,Unrolled Loops,128,128,128,3.20,1.65 
march,SIMD,128,128,128,3.83,1.38 
march,SIMD+Blocking,128,128,128,5.82,0.91 
march,Base,256,256,256,0.16,260.97 
march,Less Flops,256,256,256,0.29,144.16 
march,Column Major,256,256,256,2.19,19.29 
march,Unrolled Loops,256,256,256,2.46,17.18 
march,SIMD,256,256,256,2.62,16.13 
march,SIMD+Blocking,256,256,256,3.84,11.00 
march,Base,512,512,512,0.14,2459.15 
march,Less Flops,512,512,512,0.28,1195.46 
march,Column Major,512,512,512,2.04,164.87 
march,Unrolled Loops,512,512,512,2.44,137.90 
march,SIMD,512,512,512,2.56,131.53 
march,SIMD+Blocking,512,512,512,3.69,91.43 
march,Base,1024,1024,1024,0.03,77923.70 
march,Less Flops,1024,1024,1024,0.06,44098.96 
march,Column Major,1024,1024,1024,1.39,1940.71 
march,Unrolled Loops,1024,1024,1024,1.47,1830.43 
march,SIMD,1024,1024,1024,1.50,1792.40 
march,SIMD+Blocking,1024,1024,1024,2.17,1240.35 
benchmark,benchmark,8,8,8,0,0.035188
benchmark,benchmark,16,16,16,0,0.106797
benchmark,benchmark,32,32,32,0,0.668080
benchmark,benchmark,64,64,64,0,5.690286
benchmark,benchmark,128,128,128,0,40.193000
benchmark,benchmark,256,256,256,0,394.723000
benchmark,benchmark,512,512,512,0,2839.970000
benchmark,benchmark,1024,1024,1024,0,30023.747000
