flag,function,n,m,t,performance,time_ms
march,Base,64,64,8,0.21,0.38 
march,SIMD+Blocking,64,64,8,3.90,0.02 
march,Base,64,64,16,0.24,0.67 
march,SIMD+Blocking,64,64,16,4.78,0.03 
march,Base,64,64,32,0.27,1.22 
march,SIMD+Blocking,64,64,32,5.55,0.06 
march,Base,64,64,64,0.29,2.33 
march,SIMD+Blocking,64,64,64,6.39,0.10 
march,Base,64,64,128,0.24,5.59 
march,SIMD+Blocking,64,64,128,6.60,0.20 
march,Base,64,64,256,0.22,11.95 
march,SIMD+Blocking,64,64,256,6.75,0.40 
march,Base,64,64,512,0.20,26.50 
march,SIMD+Blocking,64,64,512,7.00,0.77 
march,Base,64,64,1024,0.19,56.01 
march,SIMD+Blocking,64,64,1024,6.99,1.54 
march,Base,64,64,2048,0.19,114.54 
march,SIMD+Blocking,64,64,2048,6.99,3.08 
march,Base,64,64,4096,0.16,267.38 
march,SIMD+Blocking,64,64,4096,6.78,6.35 
march,Base,64,64,8192,0.11,801.76 
march,SIMD+Blocking,64,64,8192,6.43,13.38 
march,Base,64,64,16384,0.07,2359.05 
march,SIMD+Blocking,64,64,16384,6.28,27.39 
march,Base,64,64,32768,0.06,5507.83 
march,SIMD+Blocking,64,64,32768,6.27,54.88 
march,Base,64,64,65536,0.06,11956.90 
march,SIMD+Blocking,64,64,65536,6.21,110.87 
march,Base,64,64,131072,0.06,23078.15 
march,SIMD+Blocking,64,64,131072,5.46,252.34 
march,Base,64,64,262144,0.06,46336.65 
march,SIMD+Blocking,64,64,262144,5.48,502.59 
march,Base,64,64,524288,0.06,94024.93 
march,SIMD+Blocking,64,64,524288,5.45,1010.80 
march,Base,64,64,1048576,0.06,189761.08 
march,SIMD+Blocking,64,64,1048576,5.48,2011.85 
benchmark,benchmark,64,64,8,0,0.722711
benchmark,benchmark,64,64,16,0,1.274409
benchmark,benchmark,64,64,32,0,2.523357
benchmark,benchmark,64,64,64,0,5.038500
benchmark,benchmark,64,64,128,0,10.099250
benchmark,benchmark,64,64,256,0,20.071000
benchmark,benchmark,64,64,512,0,39.901000
benchmark,benchmark,64,64,1024,0,78.688000
benchmark,benchmark,64,64,2048,0,156.619000
benchmark,benchmark,64,64,4096,0,312.729000
benchmark,benchmark,64,64,8192,0,625.432000
benchmark,benchmark,64,64,16384,0,1249.816000
benchmark,benchmark,64,64,32768,0,2515.819000
benchmark,benchmark,64,64,65536,0,5004.708000
benchmark,benchmark,64,64,131072,0,10171.180000
benchmark,benchmark,64,64,262144,0,19986.598000
benchmark,benchmark,64,64,524288,0,44672.549000
benchmark,benchmark,64,64,1048576,0,79999.089000
