flag,function,n,m,t,performance,time_ms
march,Base,64,8,64,0.41,1.63 
march,SIMD+Blocking,64,8,64,6.65,0.10 
march,Base,64,16,64,0.38,1.74 
march,SIMD+Blocking,64,16,64,6.61,0.10 
march,Base,64,32,64,0.35,1.93 
march,SIMD+Blocking,64,32,64,6.42,0.10 
march,Base,64,64,64,0.29,2.33 
march,SIMD+Blocking,64,64,64,6.41,0.10 
march,Base,64,128,64,0.21,3.12 
march,SIMD+Blocking,64,128,64,6.07,0.11 
march,Base,64,256,64,0.14,4.71 
march,SIMD+Blocking,64,256,64,5.40,0.12 
march,Base,64,512,64,0.08,8.04 
march,SIMD+Blocking,64,512,64,4.91,0.14 
march,Base,64,1024,64,0.05,14.42 
march,SIMD+Blocking,64,1024,64,4.03,0.17 
march,Base,64,2048,64,0.03,26.95 
march,SIMD+Blocking,64,2048,64,3.00,0.24 
march,Base,64,4096,64,0.01,51.97 
march,SIMD+Blocking,64,4096,64,2.02,0.38 
march,Base,64,8192,64,0.01,102.06 
march,SIMD+Blocking,64,8192,64,1.16,0.76 
march,Base,64,16384,64,0.01,205.00 
march,SIMD+Blocking,64,16384,64,0.46,2.38 
march,Base,64,32768,64,0.00,405.79 
march,SIMD+Blocking,64,32768,64,0.24,6.43 
march,Base,64,65536,64,0.00,806.87 
march,SIMD+Blocking,64,65536,64,0.16,14.89 
march,Base,64,131072,64,0.00,1605.99 
march,SIMD+Blocking,64,131072,64,0.14,29.33 
march,Base,64,262144,64,0.00,3213.96 
march,SIMD+Blocking,64,262144,64,0.13,59.53 
march,Base,64,524288,64,0.00,6411.23 
march,SIMD+Blocking,64,524288,64,0.13,116.29 
march,Base,64,1048576,64,0.00,12827.70 
march,SIMD+Blocking,64,1048576,64,0.12,242.37 
benchmark,benchmark,64,8,64,0,8.465000
benchmark,benchmark,64,16,64,0,5.001143
benchmark,benchmark,64,32,64,0,5.006667
benchmark,benchmark,64,64,64,0,4.937167
benchmark,benchmark,64,128,64,0,5.004167
benchmark,benchmark,64,256,64,0,5.169000
benchmark,benchmark,64,512,64,0,5.455714
benchmark,benchmark,64,1024,64,0,6.180500
benchmark,benchmark,64,2048,64,0,7.460400
benchmark,benchmark,64,4096,64,0,9.520000
benchmark,benchmark,64,8192,64,0,15.366000
benchmark,benchmark,64,16384,64,0,33.432000
benchmark,benchmark,64,32768,64,0,89.005000
benchmark,benchmark,64,65536,64,0,197.771000
benchmark,benchmark,64,131072,64,0,414.557000
benchmark,benchmark,64,262144,64,0,815.276000
benchmark,benchmark,64,524288,64,0,1615.585000
benchmark,benchmark,64,1048576,64,0,3161.910000
