flag,function,n,m,t,performance,time_ms
march,Base,8,32,32,0.16,0.04 
march,SIMD+Blocking,8,32,32,1.88,0.00 
benchmark,benchmark,8,32,32,0,0.132530
march,Base,16,32,32,0.23,0.10 
march,SIMD+Blocking,16,32,32,3.92,0.01 
benchmark,benchmark,16,32,32,0,0.212160
march,Base,32,32,32,0.29,0.29 
march,SIMD+Blocking,32,32,32,5.66,0.01 
benchmark,benchmark,32,32,32,0,0.674630
march,Base,64,32,32,0.33,1.01 
march,SIMD+Blocking,64,32,32,5.92,0.06 
benchmark,benchmark,64,32,32,0,2.884060
march,Base,128,32,32,0.32,4.09 
march,SIMD+Blocking,128,32,32,4.24,0.31 
benchmark,benchmark,128,32,32,0,9.644600
march,Base,256,32,32,0.28,18.39 
march,SIMD+Blocking,256,32,32,3.28,1.58 
benchmark,benchmark,256,32,32,0,41.342160
march,Base,512,32,32,0.26,79.98 
march,SIMD+Blocking,512,32,32,2.95,7.01 
benchmark,benchmark,512,32,32,0,172.408710
march,Base,1024,32,32,0.14,596.86 
march,SIMD+Blocking,1024,32,32,1.69,48.88 
benchmark,benchmark,1024,32,32,0,901.510970
march,Base,2048,32,32,0.11,2981.45 
march,Base,4096,32,32,0.09,14470.56 
march,Base,8192,32,32,0.08,65315.96 
march,SIMD+Blocking,2048,32,32,1.35,244.73 
march,SIMD+Blocking,4096,32,32,1.28,1027.54 
march,SIMD+Blocking,8192,32,32,1.19,4439.81 
march,SIMD+Blocking,16384,32,32,1.08,19582.31 
march,Base,16384,32,32,0.06,342978.81 
benchmark,benchmark,2048,32,32,0,4844.099000
benchmark,benchmark,4096,32,32,0,20176.748000
benchmark,benchmark,8192,32,32,0,84034.327000
benchmark,benchmark,16384,32,32,0,353180.766000
