flag,function,n,m,t,performance,time_ms
march,Base,8,8,8,0.24,0.01 
march,SIMD+Blocking,8,8,8,1.25,0.00 
march,Base,16,16,16,0.27,0.04 
march,SIMD+Blocking,16,16,16,3.51,0.00 
march,Base,32,32,32,0.29,0.30 
march,SIMD+Blocking,32,32,32,5.64,0.02 
march,Base,64,64,64,0.28,2.34 
march,SIMD+Blocking,64,64,64,6.32,0.11 
march,Base,128,128,128,0.23,23.06 
march,SIMD+Blocking,128,128,128,5.82,0.91 
march,Base,256,256,256,0.16,260.97 
march,SIMD+Blocking,256,256,256,3.84,11.00 
march,Base,512,512,512,0.14,2459.15 
march,SIMD+Blocking,512,512,512,3.69,91.43 
march,Base,1024,1024,1024,0.03,77923.70 
march,SIMD+Blocking,1024,1024,1024,2.17,1240.35 
benchmark,benchmark,8,8,8,0,0.035188
benchmark,benchmark,16,16,16,0,0.106797
benchmark,benchmark,32,32,32,0,0.668080
benchmark,benchmark,64,64,64,0,5.690286
benchmark,benchmark,128,128,128,0,40.193000
benchmark,benchmark,256,256,256,0,394.723000
benchmark,benchmark,512,512,512,0,2839.970000
benchmark,benchmark,1024,1024,1024,0,30023.747000
