flag,function,n,m,t,performance,time_ms
march,Base,64,64,8,0.21,0.38 
march,Less Flops,64,64,8,1.12,0.07 
march,Base,64,64,16,0.24,0.67 
march,Less Flops,64,64,16,1.12,0.15 
march,Base,64,64,32,0.27,1.22 
march,Less Flops,64,64,32,1.01,0.33 
march,Base,64,64,64,0.29,2.33 
march,Less Flops,64,64,64,0.91,0.73 
march,Base,64,64,128,0.24,5.59 
march,Less Flops,64,64,128,0.76,1.77 
march,Base,64,64,256,0.22,11.95 
march,Less Flops,64,64,256,0.71,3.79 
march,Base,64,64,512,0.20,26.50 
march,Less Flops,64,64,512,0.58,9.21 
march,Base,64,64,1024,0.19,56.01 
march,Less Flops,64,64,1024,0.47,22.69 
march,Base,64,64,2048,0.19,114.54 
march,Less Flops,64,64,2048,0.47,46.18 
march,Base,64,64,4096,0.16,267.38 
march,Less Flops,64,64,4096,0.45,96.15 
march,Base,64,64,8192,0.11,801.76 
march,Less Flops,64,64,8192,0.36,235.82 
march,Base,64,64,16384,0.07,2359.05 
march,Less Flops,64,64,16384,0.23,751.70 
march,Base,64,64,32768,0.06,5507.83 
march,Less Flops,64,64,32768,0.17,2072.58 
march,Base,64,64,65536,0.06,11956.90 
march,Less Flops,64,64,65536,0.15,4564.20 
march,Base,64,64,131072,0.06,23078.15 
march,Less Flops,64,64,131072,0.14,9626.84 
march,Base,64,64,262144,0.06,46336.65 
march,Less Flops,64,64,262144,0.15,18608.55 
march,Base,64,64,524288,0.06,94024.93 
march,Less Flops,64,64,524288,0.15,36586.60 
march,Base,64,64,1048576,0.06,189761.08 
march,Less Flops,64,64,1048576,0.15,72563.70 
benchmark,benchmark,64,64,8,0,0.722711
benchmark,benchmark,64,64,16,0,1.274409
benchmark,benchmark,64,64,32,0,2.523357
benchmark,benchmark,64,64,64,0,5.038500
benchmark,benchmark,64,64,128,0,10.099250
benchmark,benchmark,64,64,256,0,20.071000
benchmark,benchmark,64,64,512,0,39.901000
benchmark,benchmark,64,64,1024,0,78.688000
benchmark,benchmark,64,64,2048,0,156.619000
benchmark,benchmark,64,64,4096,0,312.729000
benchmark,benchmark,64,64,8192,0,625.432000
benchmark,benchmark,64,64,16384,0,1249.816000
benchmark,benchmark,64,64,32768,0,2515.819000
benchmark,benchmark,64,64,65536,0,5004.708000
benchmark,benchmark,64,64,131072,0,10171.180000
benchmark,benchmark,64,64,262144,0,19986.598000
benchmark,benchmark,64,64,524288,0,44672.549000
benchmark,benchmark,64,64,1048576,0,79999.089000
