flag,function,n,m,t,performance,time_ms
march,Column Major,8,64,64,1.21,0.01 
march,Unrolled Loops,8,64,64,1.92,0.01 
march,Column Major,16,64,64,1.98,0.02 
march,Unrolled Loops,16,64,64,2.88,0.02 
march,Column Major,32,64,64,2.60,0.07 
march,Unrolled Loops,32,64,64,3.75,0.05 
march,Column Major,64,64,64,2.96,0.23 
march,Unrolled Loops,64,64,64,4.05,0.16 
march,Column Major,128,64,64,2.57,1.02 
march,Unrolled Loops,128,64,64,3.02,0.87 
march,Column Major,256,64,64,2.20,4.76 
march,Unrolled Loops,256,64,64,2.47,4.24 
march,Column Major,512,64,64,2.08,20.11 
march,Unrolled Loops,512,64,64,2.42,17.24 
march,Column Major,1024,64,64,1.37,121.81 
march,Unrolled Loops,1024,64,64,1.44,115.91 
march,Column Major,2048,64,64,1.04,638.15 
march,Unrolled Loops,2048,64,64,1.04,638.35 
march,Column Major,4096,64,64,0.94,2842.63 
march,Unrolled Loops,4096,64,64,1.00,2676.28 
march,Column Major,8192,64,64,0.95,11213.90 
march,Unrolled Loops,8192,64,64,0.98,10854.89 
benchmark,benchmark,8,64,64,0,
benchmark,benchmark,16,64,64,0,0.424625
benchmark,benchmark,32,64,64,0,1.517273
benchmark,benchmark,64,64,64,0,5.061667
benchmark,benchmark,128,64,64,0,20.208500
benchmark,benchmark,256,64,64,0,84.947000
benchmark,benchmark,512,64,64,0,343.188000
benchmark,benchmark,1024,64,64,0,2074.165000
benchmark,benchmark,2048,64,64,0,8835.810000
benchmark,benchmark,4096,64,64,0,42511.045000
benchmark,benchmark,8192,64,64,0,161136.207000
