flag,function,n,m,t,performance,time_ms
march,Column Major,64,64,8,2.44,0.03 
march,Unrolled Loops,64,64,8,3.13,0.03 
march,Column Major,64,64,16,2.71,0.06 
march,Unrolled Loops,64,64,16,3.54,0.05 
march,Column Major,64,64,32,2.87,0.12 
march,Unrolled Loops,64,64,32,3.82,0.09 
march,Column Major,64,64,64,2.97,0.22 
march,Unrolled Loops,64,64,64,4.05,0.16 
march,Column Major,64,64,128,2.98,0.45 
march,Unrolled Loops,64,64,128,4.11,0.33 
march,Column Major,64,64,256,3.01,0.89 
march,Unrolled Loops,64,64,256,4.09,0.66 
march,Column Major,64,64,512,3.03,1.77 
march,Unrolled Loops,64,64,512,4.25,1.27 
march,Column Major,64,64,1024,3.03,3.55 
march,Unrolled Loops,64,64,1024,4.26,2.53 
march,Column Major,64,64,2048,3.03,7.11 
march,Unrolled Loops,64,64,2048,4.24,5.08 
march,Column Major,64,64,4096,3.00,14.32 
march,Unrolled Loops,64,64,4096,4.17,10.31 
march,Column Major,64,64,8192,2.96,29.11 
march,Unrolled Loops,64,64,8192,4.10,21.01 
march,Column Major,64,64,16384,2.93,58.83 
march,Unrolled Loops,64,64,16384,3.98,43.28 
march,Column Major,64,64,32768,2.93,117.53 
march,Unrolled Loops,64,64,32768,3.99,86.36 
march,Column Major,64,64,65536,2.93,235.29 
march,Unrolled Loops,64,64,65536,3.97,173.40 
march,Column Major,64,64,131072,2.72,505.80 
march,Unrolled Loops,64,64,131072,3.65,376.78 
march,Column Major,64,64,262144,2.74,1005.76 
march,Unrolled Loops,64,64,262144,3.62,760.64 
march,Column Major,64,64,524288,2.74,2009.87 
march,Unrolled Loops,64,64,524288,3.65,1510.56 
march,Column Major,64,64,1048576,2.74,4013.22 
march,Unrolled Loops,64,64,1048576,3.65,3020.58 
benchmark,benchmark,64,64,8,0,0.722711
benchmark,benchmark,64,64,16,0,1.274409
benchmark,benchmark,64,64,32,0,2.523357
benchmark,benchmark,64,64,64,0,5.038500
benchmark,benchmark,64,64,128,0,10.099250
benchmark,benchmark,64,64,256,0,20.071000
benchmark,benchmark,64,64,512,0,39.901000
benchmark,benchmark,64,64,1024,0,78.688000
benchmark,benchmark,64,64,2048,0,156.619000
benchmark,benchmark,64,64,4096,0,312.729000
benchmark,benchmark,64,64,8192,0,625.432000
benchmark,benchmark,64,64,16384,0,1249.816000
benchmark,benchmark,64,64,32768,0,2515.819000
benchmark,benchmark,64,64,65536,0,5004.708000
benchmark,benchmark,64,64,131072,0,10171.180000
benchmark,benchmark,64,64,262144,0,19986.598000
benchmark,benchmark,64,64,524288,0,44672.549000
benchmark,benchmark,64,64,1048576,0,79999.089000
