flag,function,n,m,t,performance,time_ms
march,Unrolled Loops,64,64,8,3.13,0.03 
march,SIMD,64,64,8,3.95,0.02 
march,SIMD+Blocking,64,64,8,3.90,0.02 
march,Unrolled Loops,64,64,16,3.54,0.05 
march,SIMD,64,64,16,4.79,0.03 
march,SIMD+Blocking,64,64,16,4.78,0.03 
march,Unrolled Loops,64,64,32,3.82,0.09 
march,SIMD,64,64,32,5.29,0.06 
march,SIMD+Blocking,64,64,32,5.55,0.06 
march,Unrolled Loops,64,64,64,4.05,0.16 
march,SIMD,64,64,64,5.73,0.12 
march,SIMD+Blocking,64,64,64,6.39,0.10 
march,Unrolled Loops,64,64,128,4.11,0.33 
march,SIMD,64,64,128,5.80,0.23 
march,SIMD+Blocking,64,64,128,6.60,0.20 
march,Unrolled Loops,64,64,256,4.09,0.66 
march,SIMD,64,64,256,6.00,0.45 
march,SIMD+Blocking,64,64,256,6.75,0.40 
march,Unrolled Loops,64,64,512,4.25,1.27 
march,SIMD,64,64,512,6.22,0.86 
march,SIMD+Blocking,64,64,512,7.00,0.77 
march,Unrolled Loops,64,64,1024,4.26,2.53 
march,SIMD,64,64,1024,6.16,1.75 
march,SIMD+Blocking,64,64,1024,6.99,1.54 
march,Unrolled Loops,64,64,2048,4.24,5.08 
march,SIMD,64,64,2048,6.19,3.48 
march,SIMD+Blocking,64,64,2048,6.99,3.08 
march,Unrolled Loops,64,64,4096,4.17,10.31 
march,SIMD,64,64,4096,6.16,6.98 
march,SIMD+Blocking,64,64,4096,6.78,6.35 
march,Unrolled Loops,64,64,8192,4.10,21.01 
march,SIMD,64,64,8192,5.85,14.70 
march,SIMD+Blocking,64,64,8192,6.43,13.38 
march,Unrolled Loops,64,64,16384,3.98,43.28 
march,SIMD,64,64,16384,5.65,30.46 
march,SIMD+Blocking,64,64,16384,6.28,27.39 
march,Unrolled Loops,64,64,32768,3.99,86.36 
march,SIMD,64,64,32768,5.59,61.53 
march,SIMD+Blocking,64,64,32768,6.27,54.88 
march,Unrolled Loops,64,64,65536,3.97,173.40 
march,SIMD,64,64,65536,5.54,124.22 
march,SIMD+Blocking,64,64,65536,6.21,110.87 
march,Unrolled Loops,64,64,131072,3.65,376.78 
march,SIMD,64,64,131072,4.93,279.22 
march,SIMD+Blocking,64,64,131072,5.46,252.34 
march,Unrolled Loops,64,64,262144,3.62,760.64 
march,SIMD,64,64,262144,4.92,559.46 
march,SIMD+Blocking,64,64,262144,5.48,502.59 
march,Unrolled Loops,64,64,524288,3.65,1510.56 
march,SIMD,64,64,524288,4.90,1123.93 
march,SIMD+Blocking,64,64,524288,5.45,1010.80 
march,Unrolled Loops,64,64,1048576,3.65,3020.58 
march,SIMD,64,64,1048576,4.95,2224.55 
march,SIMD+Blocking,64,64,1048576,5.48,2011.85 
benchmark,benchmark,64,64,8,0,0.722711
benchmark,benchmark,64,64,16,0,1.274409
benchmark,benchmark,64,64,32,0,2.523357
benchmark,benchmark,64,64,64,0,5.038500
benchmark,benchmark,64,64,128,0,10.099250
benchmark,benchmark,64,64,256,0,20.071000
benchmark,benchmark,64,64,512,0,39.901000
benchmark,benchmark,64,64,1024,0,78.688000
benchmark,benchmark,64,64,2048,0,156.619000
benchmark,benchmark,64,64,4096,0,312.729000
benchmark,benchmark,64,64,8192,0,625.432000
benchmark,benchmark,64,64,16384,0,1249.816000
benchmark,benchmark,64,64,32768,0,2515.819000
benchmark,benchmark,64,64,65536,0,5004.708000
benchmark,benchmark,64,64,131072,0,10171.180000
benchmark,benchmark,64,64,262144,0,19986.598000
benchmark,benchmark,64,64,524288,0,44672.549000
benchmark,benchmark,64,64,1048576,0,79999.089000
