flag,function,n,m,t,performance,time_ms
march,Less Flops,8,64,64,0.80,0.02 
march,Column Major,8,64,64,1.21,0.01 
march,Less Flops,16,64,64,0.94,0.05 
march,Column Major,16,64,64,1.98,0.02 
march,Less Flops,32,64,64,0.99,0.17 
march,Column Major,32,64,64,2.60,0.07 
march,Less Flops,64,64,64,0.91,0.73 
march,Column Major,64,64,64,2.96,0.23 
march,Less Flops,128,64,64,0.55,4.81 
march,Column Major,128,64,64,2.57,1.02 
march,Less Flops,256,64,64,0.39,26.86 
march,Column Major,256,64,64,2.20,4.76 
march,Less Flops,512,64,64,0.33,125.87 
march,Column Major,512,64,64,2.08,20.11 
march,Less Flops,1024,64,64,0.10,1605.65 
march,Column Major,1024,64,64,1.37,121.81 
march,Less Flops,2048,64,64,0.08,8098.02 
march,Column Major,2048,64,64,1.04,638.15 
march,Less Flops,4096,64,64,0.06,41142.26 
march,Column Major,4096,64,64,0.94,2842.63 
march,Less Flops,8192,64,64,0.05,201826.42 
march,Column Major,8192,64,64,0.95,11213.90 
benchmark,benchmark,8,64,64,0,
benchmark,benchmark,16,64,64,0,0.424625
benchmark,benchmark,32,64,64,0,1.517273
benchmark,benchmark,64,64,64,0,5.061667
benchmark,benchmark,128,64,64,0,20.208500
benchmark,benchmark,256,64,64,0,84.947000
benchmark,benchmark,512,64,64,0,343.188000
benchmark,benchmark,1024,64,64,0,2074.165000
benchmark,benchmark,2048,64,64,0,8835.810000
benchmark,benchmark,4096,64,64,0,42511.045000
benchmark,benchmark,8192,64,64,0,161136.207000
